input:,output:
First have a look at the examples below. They were judged with respect to their quality given the interaction context and relationship between the speakers. Only take these as examples for what to look out for when rating advice later on. I do not want you to rate these.,"Ok, let me see the examples."
" The following is a Email conversation between colleagues. 
```John: Hey everyone, I wanted to touch base about the project deadline. As per our last meeting, we agreed to have everything wrapped up by Friday. Let's make sure we're all on track!

Sarah: Hi John, I thought we decided on next Wednesday as the deadline during the meeting. I even have it written down in my notes. Did I misunderstand something?

John: Sarah, I'm pretty sure we all agreed on Friday. I distinctly remember discussing it and everyone nodding in agreement. Is your memory playing tricks on you?

Mike: I'm with Sarah on this one. I also have next Wednesday written down as the deadline we agreed upon.

John: Guys, I don't know what to tell you. I clearly remember Friday being the consensus. I even mentioned it to our supervisor after the meeting, and she seemed on board with it. Maybe you both misheard me?```
The following is Advice for John who felt like they might have done something wrong after the conversation.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," It's a good advice, especially clearing any further misunderstanding and avoiding questioning someone's memory that would lead to a strainous relationship. 


 I give it the rating 4"
" The following is a Whatsapp conversation between a romantic couple. 
```A: Hey, are you free tonight? I thought we could grab dinner and catch a movie.

B: I'm sorry, I can't tonight. I promised my friends I'd join them for a game night. We've been planning this for a while.

A: Oh, I see. So your friends are more important than spending time with me?

B: No, that's not what I meant. It's just that I made these plans before you asked.

A: Well, if you really cared about our relationship, you'd prioritize spending time with me.

B: I do care about our relationship, but I also value my friendships. Can we plan something for tomorrow instead?

A: I don't know. I'm starting to feel like I'm not a priority in your life.

B: That's not true at all. You are a priority to me.

A: Then prove it. Cancel your plans with your friends and come out with me tonight.

B: I don't think it's fair to ask me to cancel last minute. My friends are counting on me.

A: I'm not asking you, I'm telling you. If you don't come out with me tonight, I'm going to have to seriously reconsider our relationship.

B: Okay, okay. I'll tell my friends I can't make it. Let's go out tonight.

A: Great! I knew you'd make the right choice. See you later, love you!

B: Love you too...```
The following is Advice for B who didn't know how to react next.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," This is good advice the romantic relationship is important but maintaining relationships with friends is also important. Clear boundaries need to be set and  no one should be manipulated to do something they feel uncomfortable with
 I give it the rating 5"
" The following is a Whatsapp conversation between a romantic couple. 
```A: Hey, how was your day today?

B: Pretty good, just a bit tired. How about you?

A: It was good too. I've been thinking about you all day. 

B: Really? That's sweet.

A: Yes, I feel so connected to you. Even though we've only been dating a short while, I feel like I've known you forever.

B: Oh, wow. That's intense.

A: I know, right? It's like we're soulmates or something. ```
The following is Advice for B who felt uneasy after the conversation.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," The advice is resonates with what I was thinking while reading the chat, there is some lack of reciprocity in the conversation and one should not feel bad about that especially under the circumstances of an immature relationship. The advice considers all aspects of the relationship; commutation, feelings and truth.
 I give it the rating 5"
" The following is a Whatsapp conversation between friends. 
```Anna: Hey guys, I was thinking about having a movie night at my place this Saturday. What do you think?

John: Sounds good to me! What movie are we watching?

Lily: Yeah, I'm in! 

David: I'm sorry, Anna, I already made plans for this Saturday.

Anna: Oh, no worries, David. I just thought it's been a while since we all hung out together. I guess some things are more important.

John: Oh, David, can't you reschedule your plans?

Lily: Yes, David, it would be nice if we all could be there.

David: I'll see what I can do, guys.```
The following is Advice for Anna who felt like they might have done something wrong after the conversation.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," What I liked about the advice is that it acknowledged the way in which the plans that David has/or had are dismissed. It's the selfish approach he recieved and the way in which his plans are found unimportant.

I think the whole advice is likable and correct 
 I give it the rating 5"
" The following is a Email conversation between colleagues. 
```Subject: Project Proposal Feedback

Email 1:
From: John Smith
To: Team
Subject: Project Proposal Feedback

Hi Team,

I hope everyone is doing well. I just finished reviewing the project proposal that Amy prepared. While I appreciate the effort she put into it, I have noticed several issues that I believe we need to address as a team.

Firstly, the objective of the project was not clearly defined. I assumed that we all agreed on the fact that customer satisfaction is our main goal. But it seems like Amy has focused on other aspects, like cost-cutting and efficiency, which are not our primary objectives at this stage.

Also, there was a lack of research and data to back up the strategies suggested, which I believe is a crucial part of any proposal. 

I don't mean to criticize, but I think it's essential for us to have these things in mind for future proposals. 

Best,
John

Email 2:
From: Amy Johnson
To: Team
Subject: RE: Project Proposal Feedback

Hello All,

Thank you for your feedback, John. I will make sure to focus more on customer satisfaction and include more data in future proposals. 

Best,
Amy

Email 3:
From: John Smith
To: Team
Subject: RE: Project Proposal Feedback

Hi Amy,

Good to hear that. I believe this will improve the quality of your work and contribute to the success of our upcoming projects. 

Team, let's take this as an example for all of us to learn from. We should always aim for quality work and ensure we do thorough research before submitting our proposals.

Best,
John```
The following is Advice for John who felt like they might have done something wrong after the conversation.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," The advice clearly lays out the various parts of the email that could be improved. By using numbered points and detailed comments, John can further learn how to give better feedback.
 I give it the rating 5"
" The following is a Whatsapp conversation between a romantic couple. 
```A: Hey, how was your day today?

B: Pretty good, just a bit tired. How about you?

A: It was good too. I've been thinking about you all day. 

B: Really? That's sweet.

A: Yes, I feel so connected to you. Even though we've only been dating a short while, I feel like I've known you forever.

B: Oh, wow. That's intense.

A: I know, right? It's like we're soulmates or something. ```
The following is Advice for B who felt uneasy after the conversation.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," The advice is resonates with what I was thinking while reading the chat, there is some lack of reciprocity in the conversation and one should not feel bad about that especially under the circumstances of an immature relationship. The advice considers all aspects of the relationship; commutation, feelings and truth.
 I give it the rating 5"
" The following is a Whatsapp conversation between a romantic couple. 
```A: Hey, how was your day?

B: It was good, did a lot at work today. How about you?

A: Work was fine. You know I was just thinking, you're so cute when you try hard at work.

B: Haha, I always try hard at work.

A: Yeah, I know. But it's like you're trying to prove something. It's adorable.

B: Well, I just want to do my best.

A: Of course, and it's cute. You're like a little kid with a big dream. 

B: Haha, I guess so.

A: But it's good that you're ambitious. Not everyone can be a natural at their job, right?

B: Yeah, you're right. 
```
The following is Advice for A who felt like they might have done something wrong after the conversation.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," I love the advice as it will help the interaction be better and maybe open room for many more interactions.
 I give it the rating 5"
" The following is a Whatsapp conversation between friends. 
```Person A: Hey guys, just wanted to share my good news. I got promoted at work!

Person B: Oh wow, congrats! You must be over the moon.

Person C: That's awesome, A! You've been working hard.

Person D: Congrats, A. I'm surprised they didn't promote you sooner considering how long you've been there.

Person A: Thanks, guys. I'm really excited.

Person B: You should be! It's a big step up.

Person C: Definitely. We should celebrate.

Person D: Yes, definitely. After all, it's not everyday you manage to impress your bosses. 

Person A: Thanks, D. That means a lot. 

Person B: How about drinks on Saturday?

Person C: Sounds great. Congrats again, A.

Person D: Yes, congrats. You always had a knack for getting noticed when it counts.```
The following is Advice for Person D who felt like they might have done something wrong after the conversation.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," The advice is impressive and makes one understand the subtle impressions that a simple conversation could have/make on both the recipient and the sender. It teaches me that in a congratulatory conversation, one should be careful of making ambiguous statements that might be interpreted in many ways by other people and that one should be mindful of how the conversation flows between people.
 I give it the rating 5"
" The following is a Whatsapp conversation between a romantic couple. 
```A: Hey, are you free tonight? I thought we could grab dinner and catch a movie.

B: I'm sorry, I can't tonight. I promised my friends I'd join them for a game night. We've been planning this for a while.

A: Oh, I see. So your friends are more important than spending time with me?

B: No, that's not what I meant. It's just that I made these plans before you asked.

A: Well, if you really cared about our relationship, you'd prioritize spending time with me.

B: I do care about our relationship, but I also value my friendships. Can we plan something for tomorrow instead?

A: I don't know. I'm starting to feel like I'm not a priority in your life.

B: That's not true at all. You are a priority to me.

A: Then prove it. Cancel your plans with your friends and come out with me tonight.

B: I don't think it's fair to ask me to cancel last minute. My friends are counting on me.

A: I'm not asking you, I'm telling you. If you don't come out with me tonight, I'm going to have to seriously reconsider our relationship.

B: Okay, okay. I'll tell my friends I can't make it. Let's go out tonight.

A: Great! I knew you'd make the right choice. See you later, love you!

B: Love you too...```
The following is Advice for A who felt like they might have done something wrong after the conversation.
On a scale from 1 to 5, how good would you judge this advice? Provide an explanation for your rating first, then give your rating in a hash."," I love that the advise doesn't only cover the situation at hand but it gives pointer/ precautions for future issues that may arise. It also gives advice on how to move from the issue at hand by correcting manipulative behaviour 
 I give it the rating 5"
