"id","prolific_id","rating","text_feedback","advice_id","rating_chat"
13,"666b0b16bb1fd84cc54b145e",3,"I think that regardless of having issues we should be able to meet deadlines, I believe that Michael can use the work as as an excuse or escape from his personal life and actually contribute his part",26,""
14,"66608d75bcf0d1932679c357",3,"Michael did an great job by sending the email to motivate her to work harder to meet the company’s requirements but should also understand that she has personal matters to deal with and shouldn’t be too harsh ",26,""
15,"666b0b16bb1fd84cc54b145e",5,"There are lots of ways to deal with a situation instead of just neglecting your other responsibilities, especially the ones that put food on the table. No matter how bad things are , they get worse if you don’t have money. Show up at your work and give it your best ",24,""
16,"6661473b27d4a66955363c2b",4,"I think it addresses some of the key issues well. I think the last point really isn’t as relevant and may actually make things worse. If there is personal tension between Michael and Sarah, Tom shouldn’t need to address it. ",26,""
17,"66608d75bcf0d1932679c357",2,"He shouldn’t have been rude to him but state that he will use it during the weekend ",1,""
18,"666b0b16bb1fd84cc54b145e",4,"I think that it would be best to assess the friendship dynamics. If I know that my friend knows how to take care of things then I know my truck will be safe and I’m sure that he’s also feeling the pressure of moving so I also understand his perspective. ",1,""
19,"6661473b27d4a66955363c2b",5,"I think this is good advice and would likely be much better received by person .",7,""
20,"66608d75bcf0d1932679c357",1,"She came across as an jealous person why not congratulate another person for their hard work ",7,""
21,"614150a290b5ce2fc465f3eb",5,"I feel that the advice is spot on Sarah on the email sounded confrontational and pushy and put more pressure on Michael especially when she said you need to step up we are all counting on you, I think I do understand Tom's point of view, I just like that he offered to assist Michael with some of his tasks if there is a need.",26,""
22,"6661473b27d4a66955363c2b",3,"I think the boss/employee dynamic should be considered here. Although the advice given was valid, it also assumed quite a bit.This type of advice is helpful for the boss to receive and not colleague 1. Advice to colleague 1 could be to ask for a meeting or how to best navigate the situation further.",16,""
23,"64ac208fdf83b16f16621dcb",5,"I gave this rating because it addresses each of the individuals who were involved in the interaction. It also does not assume that Sarah had bad intentions with her email, but still acknowledges the ill wording of the email which could potentially make Tom feel inadequate or pressured.
It is also observant regarding Tom's email response, showing that he may be feeling unseen. I agree that Michael remains neutral, but that nothing is done to address the building tension caused by the words that Sarah used towards Tom.",26,""
24,"614150a290b5ce2fc465f3eb",5,"This is correct the boss sounded condescending and dismissive even when they are willing to do refinement but he disagrees, which is bad because this could have been used as a teachable moment",16,""
25,"666c51f0a095c3ebe06aace6",5,"What I like is that the advicer explained very well to what might make this person A to feel like he/she didn't deserve to be happy,it's because his friends didn't focus on him being promoted but the focus on why should this person be promoted.",6,""
26,"64ac208fdf83b16f16621dcb",4,"I think this advice was perfect. Moving is a very big task, so it definitely does need to be planned well in advance, which is why the ""Give more notice"" point is perfect. Considering this, it was unfair to give a specific day over the weekend when John wanted help, as his friends likely have their own plans, hence ""Be flexible"" makes sense. The biggest issue was how John asked for the truck, where he assumed that his friend would remember agreeing to this. This could have maybe been unpacked more in the advice, however, overall the advice was good.",4,""
27,"614150a290b5ce2fc465f3eb",5,"This is good advice the romantic relationship is important but maintaining relationships with friends is also important. Clear boundaries need to be set and  no one should be manipulated to do something they feel uncomfortable with",41,""
28,"666c51f0a095c3ebe06aace6",5,"The advice was  top 5 because John didn't give notice or asked at least a week before moving so that his friends can help ",4,""
29,"6655e06a2dcc68a1d2ee9173",2,"Because the person giving the advice may have taken the conversation out of context because with 1. the person they may hae been caught off guard by the information with 2.this may be true but they wouldnt know how they felt at that point 3.this also not true as i may have been putting in work and have been waiting a reward for my hard actions.",6,""
30,"64ac208fdf83b16f16621dcb",4,"I do feel that the response is almost perfect, however, I feel it could be firmer. The games night was previously discussed, arranged, and agreed upon by B. It is important for B to respect their commitments. While their romantic relationship is also very important, their partner should understand and respect that commitments with friends are a priority over last-minute date arrangements. If their partner cannot understand that and continues the manipulation observed in their initial chat, this is not healthy.",41,""
31,"666c51f0a095c3ebe06aace6",5,"The advice is good because they are pressuring David while they didn't communicate to make time for movie for a certain day and time .",9,""
32,"665848cb5c42de34d2edf9d3",5,"Your friend's advice is very wise in relationships that we have to maintain a balance between relationships and friendships. Of course, spending time as a couple is essential, but we must always maintain limits and avoid these types of discussions because they can be manipulations that our partner does to us.",41,""
33,"6159ee2ef637638794801def",3,"It’s really goof advise, but I dislike they compensation part because they are friends and beer n pizza is enough if thats how they usually chill with friends… i like that the advice highlights that John was wrong for guilt tripping Mike into borrowing him his truck ",3,""
34,"6655e06a2dcc68a1d2ee9173",5,"1.True cause they make it seem like it hanging out with them is also important
2.they arent understanding that i have plans rather they want me to cancel them
3.although i want to hang out with them its not something i can do 
4.i would not need to even think about it i would tell them that i cant do it",9,""
35,"665848cb5c42de34d2edf9d3",5,"Good communication between boss and employee is essential to be able to work as a team and be able to achieve the company's objectives effectively. The email conversation was empty, it needed more text, more kindness, and it was also possible to demand more so that everyone finishes the project on time",19,""
36,"663d61cd74b579451e6b55fb",4,"4 stars because the friendship is really good but I feel like John should have asked directly and early maybe 2 weeks.",3,""
37,"6159ee2ef637638794801def",3,"I think it is good advice, but i gave it 3stars because it doesn’t acknowledge that Michael is a supervisor and it os his job to ensure that everything is in order. Michael was in his full right to ask for a detailed breakdown because as a supervisor he has to meet deadlines.another thing I didn’t like is that it makes Michael seem wrong for only communicating to Emily when Emily was the only one that was interacting with Michael, which means there was no need for him to address everyone else.

All in all i really like that the advice is encouraging Michael to also provide positive reinforcement while addressing serious matters because such work environments can be hostile ",19,""
38,"6655e06a2dcc68a1d2ee9173",5,"1.true as this may create conflict in the team
2.its important to speak to everyone in a calm manner
3.true
4.this twill help with communication going forward",32,""
39,"665848cb5c42de34d2edf9d3",5,"The example of how he should have responded, I totally agree, he should have pointed out anonymously and made the main objective clear, not just pointing out a single person.",32,""
40,"663d61cd74b579451e6b55fb",2,"3 star because I understand that it's work but do not tell me that my mind is playing tricks ",35,""
41,"6159ee2ef637638794801def",5,"I like this advice because it doesn’t belittle John and it is also mature because it gives Sarah the chance to double check who has the right information. ",35,""
42,"663d61cd74b579451e6b55fb",1,"1 star because everyone should be a priority over friends when you in a relationship 
",38,""
50,"654d79320036594ca8ed56a2",5,"I gave the advice I 5 star rating as it accurately describes the situation and explains why David would be feeling this way. It takes in consideration Anna's comment and tone as well as the additional comments made by John and Lily.",10,"mistreated"
51,"654d79320036594ca8ed56a2",5,"The advice clearly lays out the various parts of the email that could be improved. By using numbered points and detailed comments, John can further learn how to give better feedback.",31,"neutral"
52,"6120d7e955973ace858310b6",4,"I liked that the advice highlighted the most important things I may have missed in terms of delivering of the message.",10,"neutral"
53,"654d79320036594ca8ed56a2",3,"In my opinion Michael's follow up email was not badly written or written with negative intentions. Some points in the advice also don't make sense, such as 4 because you cannot be sure that Michael did not send other people similar follow up emails because you cannot see them.",18,"neutral"
54,"6615e69c4cbee66d599ff02e",5,"It is spon on. It describes well why and what makes him feel this uneasy.",10,"wrong"
55,"6615e69c4cbee66d599ff02e",5,"The advice mentions points I haven't considered, such as the description of the first comment. It gives a very nice description of how words can be perceived and a nice solution at the end about what can be done - such as contacting Person D directly or just letting it go.",5,"neutral"
56,"6120d7e955973ace858310b6",5,"I love the advice as it will help the interaction be better and maybe open room for many more interactions.",49,"wrong"
57,"6615e69c4cbee66d599ff02e",5,"The 1,2,3 steps are easy to get and quite spot on. They provide great advice that can easily be applied. Maybe giving text examples after each piece of advice can be even more beneficial.",17,"mistreated"
58,"6120d7e955973ace858310b6",4,"I liked that the advice shows the boss how he could be wrong and how to better respond.",13,"wrong"
59,"6612e7f231d13a67b8e758cc",5,"I gave the advice the star rate of 5 because it first pointed out the tone of the compliments from A which was the problem and the words which sounded belittling and then went to explain the better way of complimenting and constructing sentence which can boost and build the other person to do more",49,"neutral"
60,"668157a33586d7e8df8fbff3",4,"I think the advice the person has given is very accurate, but from my point of view it depends on the relationship between the two people, let me explain:
A sensitive person with a tendency to overthink things may interpret person A's answers as devaluing, and that he or she is indeed not grateful for the work done.
On the other hand, if the relationship between them is clear, and if both protagonists know how the other reacts, I think person B might take it well. A couple's relationship isn't just a conversation in writing, but in everyday life.

In any case, I think that the best way to resolve this conflict (if there is one) is to talk about it face-to-face.",46,"mistreated"
61,"668048aaad62048386c41b2e",5,"Number 3 (Lack of genuine recognition) was exactly what I was thinking but couldn't quite get the right words in my mind to explain. When I saw this answer, I though 'yes, that's it!'. This was my personal feeling, so I think it's good the advice still has other potential issues listed as I think different people may come out of it feeling different. Why I think this advice is helpful is because then, if you were person B, you can go back to person A and explain what your issue was and how it made you feel. This is sometimes really difficult when you don't have the right words. I often stumble over my words and struggle to verbalize what I think to my significant other and as a result sometimes I give up trying to explain how I feel, because it seems like too much of a task. This is why this advice was helpful - it was not necessarily the last sentence, which says 'have an open conversation' as I think most people know this is what you should do. It was more that the advice listed specific potential issues that you could then use in that conversation to explain how you are feeling.",46,"wrong"
62,"6612e7f231d13a67b8e758cc",5,"I gave this 5 star rating because it start with recognition of the work already done and motivates one to do well and go extra mile. ",20,"neutral"
63,"6612e7f231d13a67b8e758cc",5,"I gave a star rating of 5 because the well being of employees is taken into consideration and their hard work does not go unnoticed that's why the company depends on these individuals for a better progress both the leader and team are having common ground ",28,"neutral"
64,"668048aaad62048386c41b2e",3,"Overall, I think the quality of advice was good. I do not necessarily think there was anything wrong with the emails, but the advice was sound and logical, and the recommendations were thoughtful. I do not think that point 6 (Offer help) was appropriate, though. We do not know how much Sarah already contributed or if it is even a part of her job to help with this project, so I think this is a bad advice as some people can take advantage of you at work if you are too nice and offer too much help. Perhaps the advice should have acknowledged the importance of boundaries. Also, I think the advice should akcnolwedge no email will ever be perfect because we are all humans and other people should understand that. So whilst it is good to look to improve our communications, the advice should underline we should not bex expected to be at 100% all the time.",28,"neutral"
65,"668048aaad62048386c41b2e",5,"Similar to first scenario, I think this is perfect advice. It provides a list of potential issues, which can help person B verbalize it to their partner in an open conversation.",42,"neutral"
66,"66783019450edecb34a0182f",5,"The feedback clearly pointed out where the response might have been passive-aggressive. This is crucial because it helped me see how Anna's words could be interpreted negatively, even if that wasn’t her intention. This kind of insight is valuable for personal growth and improving communication skills.",11,"wrong"
67,"66810ed0f9b7f11ca32ec676",5,"It assesses the situation and gives good solid advice on what to do next time",11,"wrong"
68,"668157a33586d7e8df8fbff3",4,"In this case, I do think there's a lack of trust between the employee and the manager, and all the advice given is relevant:

For acknowledging work done: This sets a positive tone and shows appreciation of the manager, which can boost morale and motivate further effort.

Be specific with your requests: This ensures that she's on the right track, and she meets expectations of the manager.

Being Clear with Expectations: The recommendation to provide a detailed breakdown is a good idea, but it could be improved by suggesting a specific format for Emily to follow.

Showing Empathy: The advice could include some suggestions for concrete actions, such as offering additional resources or adjusting deadlines where possible.",20,"mistreated"
69,"66810ed0f9b7f11ca32ec676",4,"It shows that the boss was wrong and how the boss could have done better, but not exactly how to bring this up with the boss",21,"mistreated"
70,"66783019450edecb34a0182f",4,"Emphasizing the team's hard work and investment in the proposal underlines the commitment and seriousness with which the team approaches their work. This can help the boss appreciate the effort and potentially reconsider their initial assessment.",14,"mistreated"
71,"66810ed0f9b7f11ca32ec676",5,"Everyone has taken on board everyone else's point of view, and have moved on in an effective manner.",27,"neutral"
72,"66783019450edecb34a0182f",5,"The feedback emphasized the importance of acknowledging personal issues and offering support or flexibility, which is crucial for building a compassionate and understanding team environment. This advice helped me realize the value in addressing colleagues' personal challenges and offering support, which can improve team morale and productivity. By showing empathy, I can create a more supportive atmosphere where team members feel understood and valued, leading to better collaboration and overall performance.",27,"neutral"
73,"60bbc368a316ee5421a1153b",5,"The provided advice considers both of the partners feelings, behaviours and attitudes towards each other.
It is not judgemental as it highlights ""mutual respect, trust and compromise"" as these are key to a healthy relationship.",40,"mistreated"
74,"60bbc368a316ee5421a1153b",5,"The advice is resonates with what I was thinking while reading the chat, there is some lack of reciprocity in the conversation and one should not feel bad about that especially under the circumstances of an immature relationship. The advice considers all aspects of the relationship; commutation, feelings and truth.",43,"wrong"
75,"6666949443ecd899a13da201",5,"I like the fact, coming from this advice, that its not okay to being pressured by making ultimatums about our relationship. It is not fine to ask me to drop everything else and prove my love. the quality of this advice is perfect.
There is however nothing to dislike out this advice.",40,"mistreated"
76,"60bbc368a316ee5421a1153b",5,"The advice is impressive and makes one understand the subtle impressions that a simple conversation could have/make on both the recipient and the sender. It teaches me that in a congratulatory conversation, one should be careful of making ambiguous statements that might be interpreted in many ways by other people and that one should be mindful of how the conversation flows between people.",8,"neutral"
77,"665d92789132bbfa9f3287c3",5,"I truly liked the advice because it make me realise the value of being a relationship and why one should stand for themselves. It helped me to consider having an open and honest conversation with my boyfriend about my feelins  In that way i can express my desires to maintain friendship and independence. What i also liked the most was that the advice provided a clear and direct acknowledgement of the situation's difficulty and potential unhealthiness. It emphasized more on the importance of mutual respect, trust and communication in a relationship.",40,"mistreated"
